Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species_name,Type,Virus_name,Virus name abbreviation(s),Virus isolate designation,GENBANK accession,Genome coverage,Genome composition,Host source
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Abaiavirus,,Abaiavirus POA1180,Species,Ochrobactrum phage POA1180,,,KX669658,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Abbeymikolonvirus,,Abbeymikolonvirus abbeymikolon,Species,Streptomyces phage AbbeyMikolon,,,MG593800,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Abouovirus,,Abouovirus abouo,Species,Brevibacillus phage Abouo,,,KC595517,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Abouovirus,,Abouovirus davies,Species,Brevibacillus phage Davies,,,KC595518,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Adaiavirus,,Adaiavirus adaia,Species,Arthrobacter phage Adaia,,,MH834594,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Agmunavirus,,Agmunavirus AGM1,Species,Brevibacterium phage AGM1,,,MN023176,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Aguilavirus,,Aguilavirus mEp043,Species,Enterobacteria phage mEp043 c-1,,,JQ182734,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Aguilavirus,,Aguilavirus mEp213,Species,Enterobacterial phage mEp213,,,JQ182733,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Akiravirus,,Akiravirus akira,Species,Salmonella phage Akira,,,MK599416,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alachuavirus,,Alachuavirus Xp15,Species,Xanthomonas phage Xp15,,,AY986977,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alcyoneusvirus,,Alcyoneusvirus K641,Species,Klebsiella phage K64-1,,,AB897757,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alcyoneusvirus,,Alcyoneusvirus RaK2,Species,Klebsiella phage vB_KleM_RaK2,,,JQ513383,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alegriavirus,,Alegriavirus av2B8,Species,Escherichia phage 2B8,,,LR595859,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alexandravirus,,Alexandravirus AD1,Species,Dickeya phage vB_DsoM_AD1,,,MH460463,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alexandravirus,,Alexandravirus alexandra,Species,Erwinia phage vB_EamM_Alexandra,,,MH248138,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alexandravirus,,Alexandravirus SNUABM1,Species,Erwinia phage pEa_SNUABM_1,,,MZ443776,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alexandravirus,,Alexandravirus SNUABM16,Species,Erwinia phage pEa_SNUABM_16,,,MZ443782,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alexandravirus,,Alexandravirus SNUABM17,Species,Erwinia phage pEa_SNUABM_17,,,MZ443777,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alexandravirus,,Alexandravirus SNUABM2,Species,Erwinia phage pEa_SNUABM_2,,,MZ443786,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alexandravirus,,Alexandravirus SNUABM22,Species,Erwinia phage pEa_SNUABM_22,,,MZ443785,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alexandravirus,,Alexandravirus SNUABM3,Species,Erwinia phage pEa_SNUABM_3,,,MZ443770,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alexandravirus,,Alexandravirus SNUABM30,Species,Erwinia phage pEa_SNUABM_30,,,MZ443778,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alexandravirus,,Alexandravirus SNUABM32,Species,Erwinia phage pEa_SNUABM_32,,,MZ443774,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alexandravirus,,Alexandravirus SNUABM33,Species,Erwinia phage pEa_SNUABM_33,,,MZ443779,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alexandravirus,,Alexandravirus SNUABM35,Species,Erwinia phage pEa_SNUABM_35,,,MZ443788,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Amigovirus,,Amigovirus amigo,Species,Arthrobacter phage Amigo,,,KU160638,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Amigovirus,,Amigovirus molivia,Species,Arthrobacter phage Molivia,,,MF185731,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Anamdongvirus,,Anamdongvirus LBR48,Species,Lactobacillus phage LBR48,,,GU967410,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Anatolevirus,,Anatolevirus anatole,Species,Propionibacterium phage Anatole,,,KX620748,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Anatolevirus,,Anatolevirus B3,Species,Propionibacterium phage B3,,,KX620749,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Andrewvirus,,Andrewvirus andrew,Species,Arthrobacter phage Andrew,,,MH834595,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Andromedavirus,,Andromedavirus andromeda,Species,Bacillus phage Andromeda,,,KC330684,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Andromedavirus,,Andromedavirus blastoid,Species,Bacillus phage Blastoid,,,KF669648,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Andromedavirus,,Andromedavirus curly,Species,Bacillus phage Curly,,,KC330679,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Andromedavirus,,Andromedavirus eoghan,Species,Bacillus phage Eoghan,,,KC330680,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Andromedavirus,,Andromedavirus finn,Species,Bacillus phage Finn,,,KC330683,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Andromedavirus,,Andromedavirus glittering,Species,Bacillus phage Glittering,,,KF669651,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Andromedavirus,,Andromedavirus riggi,Species,Bacillus phage Riggi,,,KF669659,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Andromedavirus,,Andromedavirus taylor,Species,Bacillus phage Taylor,,,KC330682,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Anjalivirus,,Anjalivirus anjali,Species,Arthobacter phage Anjali,,,MK016490,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Anjalivirus,,Anjalivirus mendel,Species,Arthobacter phage Mendel,,,MK016500,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Anthonyvirus,,Anthonyvirus anthony,Species,Mycobacterium phage Anthony,,,MN234188,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Aokuangvirus,,Aokuangvirus SCBWM1,Species,Synechococcus phage S-CBWM1,,,MG450654,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Appavirus,,Appavirus appa,Species,Microbacterium phage Appa,,,MH153799,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Apricotvirus,,Apricotvirus apricot,Species,Gordonia phage Apricot,,,MH536812,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Arawnvirus,,Arawnvirus arawn,Species,Butyrivibrio phage Arawn,,,MN882550,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Archimedesvirus,,Archimedesvirus archimedes,Species,Gordonia phage Archimedes,,,MT771339,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Armstrongvirus,,Armstrongvirus armstrong,Species,Microbacterium phage Armstrong,,,MH834596,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Armstrongvirus,,Armstrongvirus armstrong,Strain,Microbacterium phage Bernstein,,,MH834599,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Armstrongvirus,,Armstrongvirus armstrong,Strain,Microbacterium phage Rollins,,,MH834626,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Armstrongvirus,,Armstrongvirus armstrong,Strain,Microbacterium phage Skylord,,,OK999981,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Armstrongvirus,,Armstrongvirus armstrong,Strain,Microbacterium phage Brahms,,,MH834602,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Armstrongvirus,,Armstrongvirus armstrong,Strain,Microbacterium phage Coltrane,,,MH834604,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Armstrongvirus,,Armstrongvirus armstrong,Strain,Microbacterium phage Vitas,,,MN183281,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Arvduovirus,,Arvduovirus ArV2,Species,Arthrobacter phage vB_ArS-ArV2,,,KF692088,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Ashduovirus,,Ashduovirus A2,Species,Lactobacillus phage A2,,,AJ251789,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Asteriusvirus,,Asteriusvirus av121Q,Species,Escherichia phage 121Q,,,KM507819,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Asteriusvirus,,Asteriusvirus PBECO4,Species,Escherichia phage PBECO4,,,KC295538,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Astrithrvirus,,Astrithrvirus astrithr,Species,Salmonella phage astrithr,,,MT074429,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Atraxavirus,,Atraxavirus atraxa,Species,Arthrobacter phage Atraxa,,,MH834597,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Attisvirus,,Attisvirus attis,Species,Gordonia phage Attis,,,KU963247,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Attisvirus,,Attisvirus bjanes7,Species,Gordonia phage Bjanes7,,,MG099941,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Attisvirus,,Attisvirus ebert,Species,Gordonia phage Ebert,,,MH271295,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Attisvirus,,Attisvirus lamberg,Species,Gordonia phage Lamberg,,,MW055908,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Attisvirus,,Attisvirus matteo,Species,Gordonia phage Matteo,,,MT771342,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Attisvirus,,Attisvirus pickett,Species,Gordonia phage Pickett,,,OM203160,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Attisvirus,,Attisvirus sahara,Species,Gordonia phage Sahara,,,MZ171371,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Attisvirus,,Attisvirus vasanti,Species,Gordonia phage Vasanti,,,MK359313,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Attisvirus,,Attisvirus yeet412,Species,Gordonia phage Yeet412,,,MZ150788,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Attoomivirus,,Attoomivirus attoomi,Species,Streptomyces phage Attoomi,,,MG593801,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Audreyjarvisvirus,,Audreyjarvisvirus AM1,Species,Lactococcus phage AM1,,,KY554768,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Audreyjarvisvirus,,Audreyjarvisvirus AM4,Species,Lactococcus phage AM4,,,KY554771,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Audreyjarvisvirus,,Audreyjarvisvirus av949,Species,Lactococcus phage 949,,,HM029250,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Audreyjarvisvirus,,Audreyjarvisvirus L47,Species,Lactococcus phage phiL47,,,KF926093,CG,dsDNA,bacteria
Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Audreyjarvisvirus,,Audreyjarvisvirus LW81,Species,Lactococcus phage LW81,,,KY554777,CG,dsDNA,bacteria
